Year,Month,Receation Visitiors,Non-Recreation Visitors,RecreationHours,NonRecreationHours,Tent Campers,RV Campers,TotalOvernightStays
2018,October,"218,076","90,763","3,030,466","55,111","2,765","5,744","17,231"
2018,November,"13,849","60,933","180,887","33,391",214,259,613
2018,December,"22,380","54,298","276,390","29,239",134,176,326
2019,January,"33,896","58,361","570,106","31,046",96,198,"6,806"
2019,February,"31,650","52,880","533,837","29,470",32,83,"6,418"
2019,March,"28,695","64,620","358,548","35,605",182,294,592
2019,April,"48,150","63,536","662,508","35,638",643,"1,517","3,530"
2019,May,"434,385","108,215","6,660,866","67,507","4,531","6,906","60,344"
2019,June,"781,853","152,062","16,176,090","93,896","13,302","14,541","283,077"
2019,July,"936,062","193,317","19,420,614","113,643","27,136","16,227","341,161"
2019,August,"820,006","170,202","17,363,508","101,781","22,458","17,389","313,476"
2019,September,"693,118","134,406","14,724,566","83,318","10,822","18,691","266,965"
2019,October,"171,339","81,757","3,275,664","48,688","1,494","3,834","50,817"
2019,November,"15,628","52,449","202,188","28,120",182,419,611
2019,December,"25,506","55,723","400,924","30,122",144,195,"3,952"
2020,January,"25,234","58,120","573,557","30,870",118,336,"11,281"
2020,February,"41,880","59,368","763,423","31,881",86,224,"10,869"
2020,March,"32,516","72,370","407,717","38,953",150,509,730
2020,April,0,"44,945",0,"31,431",0,0,0
2020,May,"46,219","76,262","554,623","54,519",0,0,0
2020,June,"573,205","92,762","8,666,260","58,527",0,0,"74,492"
2020,July,"955,645","191,112","16,060,086","102,108",0,0,"191,348"
2020,August,"881,829","171,138","14,777,275","98,497","2,323","2,157","174,805"
2020,September,"837,114","152,519","13,258,355","89,212","12,250","11,424","133,874"
2020,October,"359,889","100,505","5,181,164","59,467","4,234","7,808","35,938"
2020,November,"24,132","52,007","321,734","27,805",352,486,"1,339"
2020,December,"28,643","51,337","377,700","27,231",218,346,"1,416"
2021,January,"35,338","60,975","463,738","34,784",115,422,"1,654"
2021,February,"36,897","53,569","478,308","30,976",93,275,"1,481"
2021,March,"35,611","73,117","471,396","41,095",250,582,"1,836"
2021,April,"67,508","77,290","877,673","47,264",634,"2,003","2,816"
2021,May,"473,799","126,299","6,801,564","79,941","2,970","5,162","46,499"
2021,June,"938,845","191,850","15,847,901","113,065","9,760","8,614","190,907"
2021,July,"1,080,767","202,660","19,645,627","118,634","14,682","11,094","278,184"
2021,August,"921,844","180,479","17,222,129","107,405","12,397","11,677","256,667"
2021,September,"882,078","154,422","15,058,243","92,251","8,467","12,573","186,388"
2021,October,"316,662","104,321","4,728,566","62,745","2,682","5,840","38,693"
2021,November,"33,144","63,973","476,436","33,251",301,893,"3,280"
2021,December,"37,749","40,413","591,914","26,519",160,230,"5,788"
